Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:P13385,TDGF1,Teratocarcinoma-derived growth factor 1,CRIPTO,Homo sapiens,protein,UniProtKB,"egf-like-domain, multiple 7, 8 pthr14949",PANTHER:PTHR14949,"growth factor activity|embryo development ending in birth or egg hatching|positive regulation of cell population proliferation|cell migration involved in sprouting angiogenesis|activation of MAPK activity|morphogenesis of a branching structure|heart development|cellular response to interleukin-6|somatic stem cell population maintenance|cellular response to tumor necrosis factor|positive regulation of endothelial cell migration|positive regulation of peptidyl-tyrosine phosphorylation|anterior/posterior axis specification, embryo|cellular response to fibroblast growth factor stimulus|signaling receptor binding|regulation of signal transduction|plasma membrane|cell surface|extracellular space|mammary gland development|protein binding|cellular response to hepatocyte growth factor stimulus|negative regulation of apoptotic process|membrane raft|cellular response to epidermal growth factor stimulus|cell differentiation|regulation of signaling receptor activity|cellular response to interferon-gamma|peptidyl-serine phosphorylation|extrinsic component of plasma membrane|apical plasma membrane|positive regulation of cell migration|anchored component of membrane",GO:0008083|GO:0009792|GO:0008284|GO:0002042|GO:0000187|GO:0001763|GO:0007507|GO:0071354|GO:0035019|GO:0071356|GO:0010595|GO:0050731|GO:0008595|GO:0044344|GO:0005102|GO:0009966|GO:0005886|GO:0009986|GO:0005615|GO:0030879|GO:0005515|GO:0035729|GO:0043066|GO:0045121|GO:0071364|GO:0030154|GO:0010469|GO:0071346|GO:0018105|GO:0019897|GO:0016324|GO:0030335|GO:0031225,,
UniProtKB:P08697,SERPINF2,Alpha-2-antiplasmin,AAP|PLI,Homo sapiens,protein,UniProtKB,"serine protease inhibitor, serpin pthr11461",PANTHER:PTHR11461,collagen-containing extracellular matrix|blood vessel morphogenesis|protease binding|extracellular region|fibrinolysis|positive regulation of transcription by RNA polymerase II|fibrinogen complex|platelet degranulation|positive regulation of smooth muscle cell proliferation|positive regulation of collagen biosynthetic process|extracellular exosome|negative regulation of plasminogen activation|blood microparticle|positive regulation of transforming growth factor beta production|platelet alpha granule lumen|response to organic substance|protein homodimerization activity|negative regulation of fibrinolysis|positive regulation of cell differentiation|regulation of blood vessel diameter by renin-angiotensin|acute-phase response|cell surface|serine-type endopeptidase inhibitor activity|extracellular space|endopeptidase inhibitor activity|protein binding|positive regulation of stress fiber assembly|positive regulation of JNK cascade|positive regulation of ERK1 and ERK2 cascade|collagen fibril organization|positive regulation of cell-cell adhesion mediated by cadherin,GO:0062023|GO:0048514|GO:0002020|GO:0005576|GO:0042730|GO:0045944|GO:0005577|GO:0002576|GO:0048661|GO:0032967|GO:0070062|GO:0010757|GO:0072562|GO:0071636|GO:0031093|GO:0010033|GO:0042803|GO:0051918|GO:0045597|GO:0002034|GO:0006953|GO:0009986|GO:0004867|GO:0005615|GO:0004866|GO:0005515|GO:0051496|GO:0046330|GO:0070374|GO:0030199|GO:2000049,,
UniProtKB:Q9P244,LRFN1,Leucine-rich repeat and fibronectin type III domain-containing protein 1,KIAA1484|SALM2,Homo sapiens,protein,UniProtKB,family not named pthr45842,PANTHER:PTHR45842,cell junction|regulation of postsynaptic density assembly|integral component of postsynaptic density membrane|plasma membrane|cell surface,GO:0030054|GO:0099151|GO:0099061|GO:0005886|GO:0009986,,
UniProtKB:P08648,ITGA5,Integrin alpha-5,FNRA,Homo sapiens,protein,UniProtKB,integrin alpha pthr23220,PANTHER:PTHR23220,"viral entry into host cell|epidermal growth factor receptor binding|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|external side of plasma membrane|integrin binding|Golgi apparatus|cell adhesion|synapse|memory|integrin complex|leukocyte cell-cell adhesion|integrin-mediated signaling pathway|focal adhesion|negative regulation of anoikis|angiogenesis|positive regulation of vascular endothelial growth factor receptor signaling pathway|ruffle|cytoplasmic vesicle|cell-cell adhesion mediated by integrin|ruffle membrane|positive regulation of cell-substrate adhesion|wound healing, spreading of epidermal cells|positive regulation of peptidyl-tyrosine phosphorylation|platelet-derived growth factor receptor binding|cell-substrate junction assembly|positive regulation of sprouting angiogenesis|female pregnancy|endoplasmic reticulum|plasma membrane|cell surface|cell adhesion mediated by integrin|alphav-beta3 integrin-vitronectin complex|protein binding|cell-cell junction|vascular endothelial growth factor receptor 2 binding|metal ion binding|extracellular matrix organization|endodermal cell differentiation|virus receptor activity|leukocyte migration|heterotypic cell-cell adhesion|cell-substrate adhesion|positive regulation of cell migration",GO:0046718|GO:0005154|GO:0007157|GO:0009897|GO:0005178|GO:0005794|GO:0007155|GO:0045202|GO:0007613|GO:0008305|GO:0007159|GO:0007229|GO:0005925|GO:2000811|GO:0001525|GO:0030949|GO:0001726|GO:0031410|GO:0033631|GO:0032587|GO:0010811|GO:0035313|GO:0050731|GO:0005161|GO:0007044|GO:1903672|GO:0007565|GO:0005783|GO:0005886|GO:0009986|GO:0033627|GO:0071062|GO:0005515|GO:0005911|GO:0043184|GO:0046872|GO:0030198|GO:0035987|GO:0001618|GO:0050900|GO:0034113|GO:0031589|GO:0030335,,
UniProtKB:P08637,FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-A,CD16A|FCG3|FCGR3|IGFR3,Homo sapiens,protein,UniProtKB,immunoglobulin fc receptor pthr11481,PANTHER:PTHR11481,immune response|extracellular exosome|external side of plasma membrane|integral component of membrane|Fc-gamma receptor signaling pathway involved in phagocytosis|IgG binding|plasma membrane|regulation of immune response,GO:0006955|GO:0070062|GO:0009897|GO:0016021|GO:0038096|GO:0019864|GO:0005886|GO:0050776,,
UniProtKB:P01903,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain",HLA-DRA1,Homo sapiens,protein,UniProtKB,mhc class ii-related pthr19944,PANTHER:PTHR19944,MHC class II protein complex|MHC class II receptor activity|Golgi membrane|integral component of plasma membrane|immune response|clathrin-coated endocytic vesicle membrane|extracellular exosome|cognition|viral process|integral component of lumenal side of endoplasmic reticulum membrane|antigen processing and presentation of exogenous peptide antigen via MHC class II|endocytic vesicle membrane|trans-Golgi network membrane|T cell receptor signaling pathway|peptide antigen binding|interferon-gamma-mediated signaling pathway|MHC class II protein complex binding|lysosomal membrane|plasma membrane|lysosome|cell surface|late endosome membrane|protein binding|transport vesicle membrane|peptide antigen assembly with MHC class II protein complex|antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|polysaccharide assembly with MHC class II protein complex|ER to Golgi transport vesicle membrane,GO:0042613|GO:0032395|GO:0000139|GO:0005887|GO:0006955|GO:0030669|GO:0070062|GO:0050890|GO:0016032|GO:0071556|GO:0019886|GO:0030666|GO:0032588|GO:0050852|GO:0042605|GO:0060333|GO:0023026|GO:0005765|GO:0005886|GO:0005764|GO:0009986|GO:0031902|GO:0005515|GO:0030658|GO:0002503|GO:0002504|GO:0002506|GO:0012507,,
UniProtKB:P23510,TNFSF4,Tumor necrosis factor ligand superfamily member 4,TXGP1,Homo sapiens,protein,UniProtKB,ox40 ligand pthr17534,PANTHER:PTHR17534,"cellular response to prostaglandin E stimulus|positive regulation of type 2 immune response|immune response|positive regulation of B cell activation|negative regulation of transcription, DNA-templated|positive regulation of interferon-gamma production|T-helper 2 cell activation|response to nitrogen dioxide|negative regulation of interferon-gamma production|positive regulation of inflammatory response|tumor necrosis factor receptor binding|negative regulation of DNA-binding transcription factor activity|positive regulation of immunoglobulin mediated immune response|cytokine activity|plasma membrane|memory T cell activation|tumor necrosis factor-mediated signaling pathway|protein binding|acute inflammatory response|positive regulation of T cell cytokine production|regulation of inflammatory response|regulation of signaling receptor activity|positive regulation of interleukin-6 production|positive regulation of interleukin-4 production|positive regulation of cell population proliferation|response to virus|negative regulation of T-helper 1 cell differentiation|integral component of plasma membrane|defense response to nematode|positive regulation of immunoglobulin secretion|negative regulation of regulatory T cell differentiation|positive regulation of CD4-positive, alpha-beta T cell differentiation|positive regulation of alpha-beta T cell proliferation|regulation of adaptive immune response|negative regulation of interleukin-17 production|positive regulation of interleukin-4-dependent isotype switching to IgE isotypes|chemokine (C-C motif) ligand 11 production|positive regulation of CD4-positive, alpha-beta T cell costimulation|signal transduction|positive regulation of T-helper 2 cell differentiation|signaling receptor binding|cell surface|extracellular space|positive regulation of interleukin-12 production|positive regulation of interleukin-13 production|tumor necrosis factor receptor superfamily binding|cellular response to lipopolysaccharide|positive regulation of memory T cell differentiation|positive regulation of interleukin-10 production",GO:0071380|GO:0002830|GO:0006955|GO:0050871|GO:0045892|GO:0032729|GO:0035712|GO:0035713|GO:0032689|GO:0050729|GO:0005164|GO:0043433|GO:0002891|GO:0005125|GO:0005886|GO:0035709|GO:0033209|GO:0005515|GO:0002526|GO:0002726|GO:0050727|GO:0010469|GO:0032755|GO:0032753|GO:0008284|GO:0009615|GO:0045626|GO:0005887|GO:0002215|GO:0051024|GO:0045590|GO:0043372|GO:0046641|GO:0002819|GO:0032700|GO:2000572|GO:0071954|GO:1900281|GO:0007165|GO:0045630|GO:0005102|GO:0009986|GO:0005615|GO:0032735|GO:0032736|GO:0032813|GO:0071222|GO:0043382|GO:0032733,,
UniProtKB:Q495A1,TIGIT,T-cell immunoreceptor with Ig and ITIM domains,VSIG9|VSTM3,Homo sapiens,protein,UniProtKB,family not named pthr47734,PANTHER:PTHR47734,identical protein binding|protein binding|integral component of membrane|negative regulation of interleukin-12 production|negative regulation of T cell activation|positive regulation of interleukin-10 production|signaling receptor binding|plasma membrane|cell surface,GO:0042802|GO:0005515|GO:0016021|GO:0032695|GO:0050868|GO:0032733|GO:0005102|GO:0005886|GO:0009986,,
UniProtKB:P78539,SRPX,Sushi repeat-containing protein SRPX,ETX1,Homo sapiens,protein,UniProtKB,family not named pthr46343,PANTHER:PTHR46343,negative regulation of cell proliferation involved in contact inhibition|positive regulation of extrinsic apoptotic signaling pathway in absence of ligand|collagen-containing extracellular matrix|endoplasmic reticulum|cell adhesion|extracellular matrix structural constituent|autophagosome|cell surface|protein binding|phagolysosome assembly|autophagy|membrane|response to endoplasmic reticulum stress,GO:0060244|GO:2001241|GO:0062023|GO:0005783|GO:0007155|GO:0005201|GO:0005776|GO:0009986|GO:0005515|GO:0001845|GO:0006914|GO:0016020|GO:0034976,,
UniProtKB:P33681,CD80,T-lymphocyte activation antigen CD80,CD28LG|CD28LG1|LAB7,Homo sapiens,protein,UniProtKB,family not named pthr25466,PANTHER:PTHR25466,"viral entry into host cell|coreceptor activity|positive regulation of T-helper 1 cell differentiation|T cell costimulation|positive regulation of signal transduction|plasma membrane|positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process|cell surface|positive regulation of interleukin-2 biosynthetic process|protein binding|positive regulation of transcription, DNA-templated|cytokine-mediated signaling pathway|integral component of membrane|virus receptor activity|protein complex involved in cell adhesion|intracellular signal transduction|positive regulation of peptidyl-tyrosine phosphorylation|positive regulation of protein kinase B signaling",GO:0046718|GO:0015026|GO:0045627|GO:0031295|GO:0009967|GO:0005886|GO:0045425|GO:0009986|GO:0045086|GO:0005515|GO:0045893|GO:0019221|GO:0016021|GO:0001618|GO:0098636|GO:0035556|GO:0050731|GO:0051897,,
UniProtKB:Q9BY10,SLC46A2,Thymic stromal cotransporter homolog,TSCOT,Homo sapiens,protein,UniProtKB,family not named pthr23507,PANTHER:PTHR23507,regulation of T cell differentiation|transmembrane transport|negative regulation of T cell apoptotic process|integral component of membrane|symporter activity|plasma membrane|cell surface|T cell homeostasis|thymus development,GO:0045580|GO:0055085|GO:0070233|GO:0016021|GO:0015293|GO:0005886|GO:0009986|GO:0043029|GO:0048538,,
UniProtKB:P08473,MME,Neprilysin,EPN,Homo sapiens,protein,UniProtKB,zinc metalloprotease family m13 neprilysin-related pthr11733,PANTHER:PTHR11733,synaptic vesicle|neuronal cell body|synapse|metalloendopeptidase activity|angiotensin maturation|learning or memory|cellular response to UV-B|dendrite|secretory granule membrane|amyloid-beta clearance|phosphatidylserine binding|cellular response to UV-A|brush border|kidney development|peptide metabolic process|amyloid-beta clearance by cellular catabolic process|amyloid-beta metabolic process|axon|zinc ion binding|neutrophil degranulation|plasma membrane|exopeptidase activity|metallopeptidase activity|protein binding|sensory perception of pain|positive regulation of neurogenesis|replicative senescence|positive regulation of long-term synaptic potentiation|peptide binding|neuropeptide processing|placenta development|integral component of plasma membrane|early endosome|trans-Golgi network|presynapse|extracellular exosome|focal adhesion|cytoplasmic vesicle|lung development|protein homodimerization activity|endopeptidase activity|aging|cardiolipin binding|neuron projection terminus|cell surface|creatinine metabolic process|oligopeptidase activity|cytoplasm|proteolysis|membrane raft|integral component of membrane|cellular response to cytokine stimulus,GO:0008021|GO:0043025|GO:0045202|GO:0004222|GO:0002003|GO:0007611|GO:0071493|GO:0030425|GO:0030667|GO:0097242|GO:0001786|GO:0071492|GO:0005903|GO:0001822|GO:0006518|GO:0150094|GO:0050435|GO:0030424|GO:0008270|GO:0043312|GO:0005886|GO:0008238|GO:0008237|GO:0005515|GO:0019233|GO:0050769|GO:0090399|GO:1900273|GO:0042277|GO:0061837|GO:0001890|GO:0005887|GO:0005769|GO:0005802|GO:0098793|GO:0070062|GO:0005925|GO:0031410|GO:0030324|GO:0042803|GO:0004175|GO:0007568|GO:1901612|GO:0044306|GO:0009986|GO:0046449|GO:0070012|GO:0005737|GO:0006508|GO:0045121|GO:0016021|GO:0071345,,
UniProtKB:P01732,CD8A,T-cell surface glycoprotein CD8 alpha chain,MAL,Homo sapiens,protein,UniProtKB,cd8 alpha chain pthr10441,PANTHER:PTHR10441,coreceptor activity|external side of plasma membrane|T cell activation|transmembrane receptor protein tyrosine kinase signaling pathway|T cell receptor complex|MHC class I protein binding|extracellular region|plasma membrane raft|plasma membrane|integral component of plasma membrane|MHC class I protein complex binding|protein binding|immune response|antigen processing and presentation|regulation of immune response,GO:0015026|GO:0009897|GO:0042110|GO:0007169|GO:0042101|GO:0042288|GO:0005576|GO:0044853|GO:0005886|GO:0005887|GO:0023024|GO:0005515|GO:0006955|GO:0019882|GO:0050776,,
UniProtKB:P55290,CDH13,Cadherin-13,CDHH,Homo sapiens,protein,UniProtKB,family not named pthr24027,PANTHER:PTHR24027,Rac protein signal transduction|low-density lipoprotein particle mediated signaling|adherens junction organization|negative regulation of cell population proliferation|collagen-containing extracellular matrix|sprouting angiogenesis|external side of plasma membrane|homophilic cell adhesion via plasma membrane adhesion molecules|regulation of epidermal growth factor receptor signaling pathway|endothelial cell migration|extracellular region|positive regulation of transcription by RNA polymerase II|neuron projection|mitotic cell cycle|positive regulation of smooth muscle cell proliferation|positive regulation of calcium-mediated signaling|caveola|extracellular exosome|focal adhesion|cadherin binding|regulation of endocytosis|low-density lipoprotein particle binding|localization within membrane|lipoprotein particle binding|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules|keratinocyte proliferation|negative regulation of cell adhesion|positive regulation of positive chemotaxis|adiponectin binding|Rho protein signal transduction|plasma membrane|GABA-ergic synapse|extracellular space|perinuclear region of cytoplasm|positive regulation of cell-matrix adhesion|cytoplasm|lamellipodium assembly|positive regulation of endothelial cell proliferation|positive regulation of cell migration|anchored component of membrane,GO:0016601|GO:0055096|GO:0034332|GO:0008285|GO:0062023|GO:0002040|GO:0009897|GO:0007156|GO:0042058|GO:0043542|GO:0005576|GO:0045944|GO:0043005|GO:0000278|GO:0048661|GO:0050850|GO:0005901|GO:0070062|GO:0005925|GO:0045296|GO:0030100|GO:0030169|GO:0051668|GO:0071813|GO:0016339|GO:0043616|GO:0007162|GO:0050927|GO:0055100|GO:0007266|GO:0005886|GO:0098982|GO:0005615|GO:0048471|GO:0001954|GO:0005737|GO:0030032|GO:0001938|GO:0030335|GO:0031225,,
